f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,m0,m1,m2,m3
31.0,0.0,31.0,31.0,85.3,0.0,85.3,85.3,1.786311,0.834759,0.588544,2.823527,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,16.5,33.0,0.0,66.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,71.5,48.121374,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.627557,0.893673,0.596872,2.982404,16.5,33.0,0.0,66.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,71.5,48.121374,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,16.5,33.0,0.0,66.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.137693,0.268864,0.827352,1.650421,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,0.359362,0.0,0.359362,0.359362,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,71.5,48.121374,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.819889,1.070092,0.398738,3.093694,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.333727,0.0,0.333727,0.333727,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.333727,0.0,0.333727,0.333727,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.333727,0.0,0.333727,0.333727,16.5,33.0,0.0,66.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.333727,0.0,0.333727,0.333727,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,71.5,48.121374,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,0.359362,0.0,0.359362,0.359362,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,100.0,0.0,100.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,71.5,48.121374,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,69.0,47.370877,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,75.0,50.0,0.0,100.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,16.5,33.0,0.0,66.0,1,1,1,1
31.0,0.0,31.0,31.0,83.6,0.0,83.6,83.6,1.0587,0.004893,1.052076,1.064616,0.0,0.0,0.0,0.0,1,1,1,1
31.0,0.0,31.0,31.0,85.4,0.0,85.4,85.4,0.290816,0.0,0.290816,0.290816,16.5,33.0,0.0,66.0,1,1,1,1
